CountryName,CountryCode,SeriesName,Series Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
China,CHN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.78,47.95,48.61,49.52,50.04,50.83,51.8,52.5,53.37,54.07,54.91,55.66,56.4,57.24,57.8,58.54,59.26,..,..,..
China,CHN,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93.24479675,93.57578278,93.90691376,94.23894501,94.57279205,94.90936279,95.24954987,95.5942688,95.9434433,96.29312897,96.63838959,96.9743042,97.29593658,97.59836578,97.87665558,98.12897491,98.36579132,98.60068512,98.847229,99.11898041,99.7,99.87464142,99.97492981,100,100,100,100,100,..,..
China,CHN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91.15471762,91.52290517,91.84115035,92.17262249,92.45722414,92.78862442,93.17304431,93.52386408,94.0263899,94.42389621,94.71612928,95.32655673,95.79175931,96.14137231,96.50484942,96.91251362,97.17183372,97.53033199,97.88919357,98.29266413,99.43935523,99.77616747,99.87256307,99.96742022,100,100,100,99.97263431,..,..
China,CHN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.06499481,99.17877197,99.29192352,99.40128326,99.50308228,99.59352112,99.66883087,99.7252121,99.76044464,99.77852631,100,99.78546906,99.78544617,99.7904892,99.80605316,99.83486176,99.87693787,99.93348694,99.97535706,99.99575806,100,100,100,100,100,100,100,100,..,..
China,CHN,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.81731033,..,..,78.8526001,..,..,80.22911835,..,..
China,CHN,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.00867462,..,..,76.24973297,..,..,76.36473083,..,..
China,CHN,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.58479309,..,..,81.36897278,..,..,83.96663666,..,..
China,CHN,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.281353,..,..,79.68721008,..,..,79.26173401,..,..
China,CHN,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.62636185,..,..,72.57639313,..,..,68.35025787,..,..
China,CHN,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56.73237991,..,..,72.66665649,..,..,71.38467407,..,..
China,CHN,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.26368713,..,..,82.90608215,..,..,88.4227829,..,..
China,CHN,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.87264252,..,..,89.5185318,..,..,94.61381531,..,..
China,CHN,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65.29096222,..,..,74.06059265,..,..,87.01638794,..,..
China,CHN,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.34534499,..,..,..,..,..,..
China,CHN,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.82996305,..,..,..,..,..,..
China,CHN,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.337668942,..,..,..,..,..,..
China,CHN,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92.8452,94.5802,96.13547,96.87553,96.82433,95.8694,94.73328,93.10675,91.30103,90.04399,89.34889,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.86181,..,92.44208,..,93.82729,93.15314,92.24111,90.89306,89.55309,88.67978,88.3706,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.59585,..,99.6142,..,99.64831,98.42773,97.07896,95.18826,92.94238,91.32285,90.26422,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.95954777,9.207873999,7.26464958,8.328637334,8.31254349,9.627256522,11.56431742,10.71704603,10.14809489,12.01542666,14.04203107,14.41729134,5.864403871,13.66327231,8.74954753,5.501043622,10.40463806,6.307740251,7.70602662,7.997232246,8.059123698,5.370429674,..,..
China,CHN,Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.06E+12,1.18E+12,1.29E+12,1.38E+12,1.50E+12,1.62E+12,1.78E+12,1.98E+12,2.20E+12,2.42E+12,2.71E+12,3.09E+12,3.54E+12,3.74E+12,4.26E+12,4.63E+12,4.88E+12,5.39E+12,5.73E+12,6.17E+12,6.66E+12,7.20E+12,7.59E+12,..,..
China,CHN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..,..,..,..,..,..,..,..,..,85637946585,92084327719,1.05E+11,1.27E+11,1.29E+11,1.43E+11,1.33E+11,1.51E+11,1.28E+11,1.44E+11,1.51E+11,1.55E+11,1.66E+11,1.93E+11,2.21E+11,2.64E+11,2.62E+11,2.36E+11,2.73E+11,3.01E+11,3.08E+11,3.34E+11,3.76E+11,3.87E+11,4.91E+11,6.28E+11,7.33E+11,8.19E+11,8.65E+11,9.18E+11,1.01E+12,1.10E+12,1.23E+12,1.38E+12,1.59E+12,1.84E+12,2.20E+12,2.81E+12,3.51E+12,4.01E+12,4.63E+12,5.54E+12,6.44E+12,7.14E+12,7.85E+12,8.35E+12,8.50E+12,9.11E+12,..,..
